Date,vwretx,ewretx
2009-11-04,0.000592,-0.002537
2009-11-05,0.019272,0.020203
2009-11-06,0.001455,-0.000677
2009-11-09,0.023069,0.01561
2009-11-10,-0.000901,-0.006625
2009-11-11,0.005488,0.005813
2009-11-12,-0.011838,-0.014165
2009-11-13,0.006809,0.007858
2009-11-16,0.015462,0.016677
2009-11-17,0.001115,-0.001859
2009-11-18,-0.001175,-0.001495
2009-11-19,-0.014067,-0.01478
2009-11-20,-0.004077,-0.00149
2009-11-23,0.012915,0.010613
2009-11-24,-0.001361,-0.002342
2009-11-25,0.005707,0.003603
2009-11-27,-0.01878,-0.016937
2009-11-30,0.003841,0.002409
2009-12-01,0.013946,0.012471
2009-12-02,0.002244,0.005799
2009-12-03,-0.008852,-0.006883
2009-12-04,0.005361,0.011062
2009-12-07,-0.001626,0.001938
2009-12-08,-0.0107,-0.007994
2009-12-09,0.003419,0.002074
2009-12-10,0.005225,-0.001239
2009-12-11,0.002965,0.004861
2009-12-14,0.008404,0.009792
2009-12-15,-0.004639,-0.004327
2009-12-16,0.003278,0.004849
2009-12-17,-0.012619,-0.010388
2009-12-18,0.006004,0.004816
2009-12-21,0.009732,0.009236
2009-12-22,0.004473,0.005508
2009-12-23,0.004493,0.008398
2009-12-24,0.005127,0.005212
2009-12-28,0.000887,-0.000222
2009-12-29,-0.001164,0.001206
2009-12-30,-0.000751,0.000454
2009-12-31,-0.008692,-0.002666
2010-01-04,0.017047,0.019077
2010-01-05,0.003368,0.002451
2010-01-06,0.001762,0.00318
2010-01-07,0.002822,0.006834
2010-01-08,0.004173,0.007224
2010-01-11,0.00114,0.003547
2010-01-12,-0.011005,-0.010224
2010-01-13,0.008532,0.008648
2010-01-14,0.002283,0.004398
2010-01-15,-0.011351,-0.008675
2010-01-19,0.012054,0.011274
2010-01-20,-0.011183,-0.00915
2010-01-21,-0.017797,-0.014217
2010-01-22,-0.021042,-0.014439
2010-01-25,0.003891,0.000966
2010-01-26,-0.004934,-0.006019
2010-01-27,0.004081,0.001787
2010-01-28,-0.011441,-0.008945
2010-01-29,-0.010326,-0.008227
2010-02-01,0.015084,0.011288
2010-02-02,0.01222,0.008635
2010-02-03,-0.005259,-0.003951
2010-02-04,-0.032029,-0.028184
2010-02-05,0.002642,0.000434
2010-02-08,-0.008453,-0.005379
2010-02-09,0.013847,0.011833
2010-02-10,-0.001752,-0.000331
2010-02-11,0.011978,0.01272
2010-02-12,-0.000789,0.003092
2010-02-16,0.017872,0.014414
2010-02-17,0.004483,0.004903
2010-02-18,0.006115,0.004324
2010-02-19,0.002339,0.001937
2010-02-22,-0.001153,0.001978
2010-02-23,-0.013096,-0.00845
2010-02-24,0.008385,0.005264
2010-02-25,-0.000905,-0.001062
2010-02-26,0.001807,0.001587
2010-03-01,0.011947,0.0129
2010-03-02,0.004417,0.007818
2010-03-03,0.001473,0.002778
2010-03-04,0.003055,0.004598
2010-03-05,0.014472,0.015161
2010-03-08,0.000571,0.003733
2010-03-09,0.001592,0.002425
2010-03-10,0.004922,0.006166
2010-03-11,0.003628,0.002816
2010-03-12,0.000747,0.000584
2010-03-15,-0.000715,-0.003222
2010-03-16,0.008729,0.007143
2010-03-17,0.00559,0.004619
2010-03-18,-0.002052,-0.00272
2010-03-19,-0.006948,-0.008016
2010-03-22,0.005833,0.006227
2010-03-23,0.007582,0.00839
2010-03-24,-0.006646,-0.00521
2010-03-25,-0.002494,-0.003563
2010-03-26,0.00067,0.000841
2010-03-29,0.006603,0.005471
2010-03-30,0.000344,0.00155
2010-03-31,-0.002803,-0.002986
2010-04-01,0.008524,0.00687
2010-04-05,0.009522,0.013117
2010-04-06,0.002117,0.005208
2010-04-07,-0.005654,-0.000997
2010-04-08,0.002794,0.002641
2010-04-09,0.006699,0.005814
2010-04-12,0.001755,0.003844
2010-04-13,0.000631,0.001328
2010-04-14,0.01229,0.014916
2010-04-15,0.000082,0.002731
